,name,brand,price,real_price
0,2038-BL Day and Date Analog Watch  - For Men,Fogg,₹314,"₹1,799"
1,LS2804 All Black Mesh Strap Day and Date Functioning Qu...,LIMESTONE,₹271,"₹1,999"
2,LCS-8188 BLUE DIAL AND SILVER STRAP DAY & DATE FUNCTION...,LOIS CARON,₹314,"₹1,799"
3,TW-02524 Teenager Luxurious Fashion Silicone Black Colo...,KNACK,₹180,₹499
4,NEW STYLISH DIAL- PU STRAP & BLACK KING BRACELET COMBO ...,CRAB,₹284,₹799
5,EH-167-BLUE Blue Unique New Analog Watch  - For Men,EDDY HAGER,₹208,"₹1,699"
6,38024PP25 Minimalists Analog Watch  - For Men,Fastrack,₹850,₹850
7,1170-BL-BR Unique New Day & Date Analog Watch  - For Me...,Fogg,₹296,"₹1,699"
8,LCS-8075 DAY & DATE FUNCTIONING Analog Watch  - For Men,LOIS CARON,₹261,"₹2,599"
9,ANLG-428-BLUE-BLU Analog Watch  - For Men,ANALOGUE,₹237,"₹1,499"
10,goldmines-1 Analog-Digital Watch  - For Men,SKMEI,₹387,"₹1,499"
11,AD1166 Analog-Digital Watch  - For Boys,SKMEI,₹385,"₹1,999"
12,NEW GENERATION DIGITAL NEW DIGITAL LED SPORTS Digital s...,SSA,₹315,₹999
13,LS2734 Wolf Gents Exclusive Mesh Strap Analog Analog Wa...,LIMESTONE,₹194,"₹1,999"
14,77106SM04 Analog Watch  - For Men,SONATA,₹909,"₹1,249"
15,32-BK-CK Analogue Display with Exclusive Design Analog ...,PIRASO,₹279,"₹1,599"
16,EH-283-BL Blue Working Day and Date Display Analog Watc...,EDDY HAGER,₹312,"₹2,599"
17,LCS-8208 DAY & DATE FUNCTIONING WATCH Analog Watch  - F...,LOIS CARON,₹296,"₹1,799"
18,LS2821 Bleed Blue Day and Date Functioning Strap Adult ...,LIMESTONE,₹296,"₹1,999"
19,4044-PK Modish Analog Watch  - For Women,Fogg,₹305,"₹1,399"
20,TW00ZR361 Analog Watch  - For Men,TIMEX,₹559,"₹1,925"
21,Couple Analogue Stainless Steel Black Dial Analog Watch...,SPLAZOS,₹215,"₹1,599"
22,Arrow Blk Analog Watch  - For Men,Daniel Jubile,₹259,"₹1,499"
23,2051-BK Black Day and Date Analog Watch  - For Men,Fogg,₹322,"₹2,599"
24,New Stylish Combo Of King Printed Watch and Bracelet An...,Blue Pearl,₹269,₹999
25,2038-WH Day and Date Analog Watch  - For Men,Fogg,₹314,"₹1,799"
26,Set Of three Combo Latest Combo of 3 Brown & Blue & bla...,FOXTER,₹331,"₹1,399"
27,HMTG-G9052 Original Gold Plated Day & Date Watch & Gold...,hrnt,₹477,"₹2,299"
28,1005-Black Dial Analog Digital Sports Watch For Men's B...,Benling,₹683,"₹2,499"
29,D&D-14 ANALOG DAY AND DATE DISPLAY WATCH FOR MEN & BOYS...,PIRASO,₹329,"₹1,599"
30,LCS-8190 BLACK DIAL AND SILVER STRAP DAY & DATE FUNCTIO...,LOIS CARON,₹314,"₹1,799"
31,New Arrival Stylish Attractive Ethnic Blue Bracelet Loo...,MIKADO,₹224,"₹1,999"
32,LS2842 Mesh Strap Day and Date Functioning All Black Sh...,LIMESTONE,₹279,"₹1,899"
33,4049-BK Elegant Analog Watch  - For Men,Fogg,₹249,"₹1,499"
34,1164-BR Brown Day and Date Unique New Analog Watch  - F...,Fogg,₹305,"₹1,699"
35,LS2917 Mesh Strap All Black Avatar Day and Date Functio...,LIMESTONE,₹296,"₹2,999"
36,SKMEI Sports Multifunctional Dual Time Digital Blue Dia...,AWEX,₹390,"₹1,999"
37,Pink diamond studded attractive butterfly stylish women...,SPINOZA,₹195,₹399
38,Abx1017-Gents Green Solitary Camouflage Pattern NEW GEN...,hala,₹270,₹999
39,LCS-96142 Day And Date Functioning High Quality Analog ...,Espoir,₹249,"₹1,795"
40,PE000001A Analog Watch  - For Men,PETER ENGLAND,"₹1,339","₹2,645"
41,Combo Of 5 Stylish Attractive Chronograph Pattern Desig...,FOXTER,₹436,"₹1,999"
42,96127-New Stylish Beloved Couple Watches for Men and Wo...,TRUE COLORS,₹261,₹999
43,TW-02524 Teenager Luxurious Fashion Silicone Black Colo...,KNACK,₹180,₹499
44,KNK-GL11 Latest attractive Square black dail and Golden...,KNACK,₹313,₹999
45,77085PP03 Volt Analog Watch  - For Men,SONATA,₹675,₹675
46,LCS-8404 ORIGINAL GOLD PLATED DAY & DATE FUNCTIONING An...,LOIS CARON,₹549,"₹2,999"
47,Gents Exclusive 3 Designer Combo (Casual+PartyWear+Form...,Rizzly,₹349,₹899
48,CH2647 Decker Analog Watch  - For Men,FOSSIL,"₹3,829","₹8,995"
49,2038-BL Day and Date Analog Watch  - For Men,Fogg,₹314,"₹1,799"
50,AMN_492 PU NEW ARRIVAL ROUND DIAL ANALOG QUARTZ WATCH F...,AMINO,₹198,₹799
51,Combo of 2 Product watch Analog Watch  - For Women,LIBAS,₹289,"₹1,299"
52,Analog Digital Analog-Digital Watch  - For Boys,SKMEI,₹369,"₹1,999"
53,LS2804 All Black Mesh Strap Day and Date Functioning Qu...,LIMESTONE,₹271,"₹1,999"
54,LCS-8184 DAY & DATE FUNCTIONING WATCH Analog Watch  - F...,LOIS CARON,₹279,"₹1,799"
55,2047-WH Day and Date Analog Watch  - For Men,Fogg,₹299,"₹1,599"
56,Men's Steel Chain RB02 Silver Black New Stylis Men's Al...,Daniel Jubile,₹227,"₹1,499"
57,CSD-326-BLK-BLK All Black Mesh Silicone Strap with Supe...,CASADO,₹233,"₹1,299"
58,800 Digital Army Green Sports Digital Watch  - For Men,EDDY HAGER,₹472,"₹2,599"
59,LS2734 Wolf Gents Exclusive Mesh Strap Analog Analog Wa...,LIMESTONE,₹194,"₹1,999"
60,LS2811 Day & Date Original Gold Plated Quartz Analog Wa...,LIMESTONE,₹504,"₹4,099"
61,492+KING BR 1 NEW DESIGNER WATCH AND ONE KING BR COMBO ...,HENCY,₹284,₹999
62,blue22557 Analog-Digital Watch  - For Men,SKMEI,₹389,"₹1,999"
63,4044-PK Modish Analog Watch  - For Women,Fogg,₹305,"₹1,399"
64,77106SL03 Analog Watch  - For Men,SONATA,₹599,"₹1,149"
65,NG38003PP13J Tees Analog Watch  - For Men & Women,Fastrack,₹795,₹795
66,A1669 Enticer Men's ( MTP-V002D-7BUDF ) Analog Watch  -...,CASIO,₹939,"₹1,995"
67,PE000015D Analog Watch  - For Men,PETER ENGLAND,"₹1,529","₹3,045"
68,PE000014B Analog Watch  - For Men,PETER ENGLAND,₹829,"₹1,695"
69,1195-WH White Unique Analog Watch  - For Men,Fogg,₹251,"₹1,599"
70,P21-01N Analog Watch  - For Men,PROVOGUE,₹519,"₹1,599"
71,4075-BK Elegant Design Analog Watch  - For Men,Fogg,₹314,"₹1,799"
72,2058-BK Printed Black Day and Date Analog Watch  - For ...,Fogg,₹314,"₹2,299"
73,2051-BK Black Day and Date Analog Watch  - For Men,Fogg,₹322,"₹2,599"
74,D&D-14 ANALOG DAY AND DATE DISPLAY WATCH FOR MEN & BOYS...,PIRASO,₹329,"₹1,599"
75,TD_MAHADEV001 MAHADEV Black dial Black Genuine Leather ...,TARIDO,₹179,₹899
76,TW0TG7801 Analog Watch  - For Men,TIMEX,₹799,"₹1,549"
77,P21-02N Analog Watch  - For Men,PROVOGUE,₹509,"₹1,599"
78,LCS-96142 Day And Date Functioning High Quality Analog ...,Espoir,₹249,"₹1,795"
79,4049-BK Elegant Analog Watch  - For Men,Fogg,₹249,"₹1,499"
